data-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
level-2-expr	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL) }
program-unit	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'PROGRAM' (TERMINAL), NAME_LITERAL: 'USE' (TERMINAL), NAME_LITERAL: 'IMPORT' (TERMINAL), NAME_LITERAL: 'CONTAINS' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'MODULE' (TERMINAL), NAME_LITERAL: 'SUBMODULE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'BLOCKDATA' (TERMINAL), NAME_LITERAL: 'IMPLICIT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'FUNCTION' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'SUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENUM' (TERMINAL), NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL), NAME_LITERAL: 'ALLOCATABLE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'CODIMENSION' (TERMINAL), NAME_LITERAL: 'COMMON' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'DIMENSION' (TERMINAL), NAME_LITERAL: 'EQUIVALENCE' (TERMINAL), NAME_LITERAL: 'EXTERNAL' (TERMINAL), NAME_LITERAL: 'INTENT' (TERMINAL), NAME_LITERAL: 'INTRINSIC' (TERMINAL), NAME_LITERAL: 'NAMELIST' (TERMINAL), NAME_LITERAL: 'OPTIONAL' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PROTECTED' (TERMINAL), NAME_LITERAL: 'SAVE' (TERMINAL), NAME_LITERAL: 'TARGET' (TERMINAL), NAME_LITERAL: 'VOLATILE' (TERMINAL), NAME_LITERAL: 'VALUE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), NAME_LITERAL: 'ELEMENTAL' (TERMINAL), NAME_LITERAL: 'IMPURE' (TERMINAL), NAME_LITERAL: 'PURE' (TERMINAL), NAME_LITERAL: 'RECURSIVE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
9_group_autogen	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
masked-elsewhere-stmt-list	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'ELSE' (TERMINAL), NAME_LITERAL: 'ELSEWHERE' (TERMINAL) }
explicit-shape-spec-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
where-body-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
namelist-stmt	{NAME_LITERAL: 'NAMELIST' (TERMINAL) }
explicit-coshape-spec	{_EMTPTY_: '' (TERMINAL), ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
inquire-spec-list	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'FILE' (TERMINAL), NAME_LITERAL: 'ACCESS' (TERMINAL), NAME_LITERAL: 'ACTION' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BLANK' (TERMINAL), NAME_LITERAL: 'DECIMAL' (TERMINAL), NAME_LITERAL: 'DELIM' (TERMINAL), NAME_LITERAL: 'DIRECT' (TERMINAL), NAME_LITERAL: 'ENCODING' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'EXIST' (TERMINAL), NAME_LITERAL: 'FORM' (TERMINAL), NAME_LITERAL: 'FORMATTED' (TERMINAL), NAME_LITERAL: 'ID' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'NAME' (TERMINAL), NAME_LITERAL: 'NAMED' (TERMINAL), NAME_LITERAL: 'NEXTREC' (TERMINAL), NAME_LITERAL: 'NUMBER' (TERMINAL), NAME_LITERAL: 'OPENED' (TERMINAL), NAME_LITERAL: 'PAD' (TERMINAL), NAME_LITERAL: 'PENDING' (TERMINAL), NAME_LITERAL: 'POS' (TERMINAL), NAME_LITERAL: 'POSITION' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'READWRITE' (TERMINAL), NAME_LITERAL: 'RECL' (TERMINAL), NAME_LITERAL: 'ROUND' (TERMINAL), NAME_LITERAL: 'SEQUENTIAL' (TERMINAL), NAME_LITERAL: 'SIGN' (TERMINAL), NAME_LITERAL: 'SIZE' (TERMINAL), NAME_LITERAL: 'STREAM' (TERMINAL), NAME_LITERAL: 'UNFORMATTED' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
intrinsic-type-spec	{NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
mult-operand	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
separate-module-subprogram	{NAME_LITERAL: 'MODULE' (TERMINAL) }
41_group_autogen	{COMMA: ',' (TERMINAL) }
40_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
implicit-part-stmt1_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'IMPLICIT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL) }
w	{INT_LITERAL_CONSTANT: '' (TERMINAL) }
nonlabel-do-stmt	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL) }
mult-op	{ASTERIK: '*' (TERMINAL), SLASH: '/' (TERMINAL) }
io-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
47_group_autogen	{COMMA: ',' (TERMINAL) }
assumed-size-spec	{_EMTPTY_: '' (TERMINAL), ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
association	{NAME_LITERAL: '' (TERMINAL) }
asynchronous-stmt	{NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL) }
type-bound-proc-decl	{NAME_LITERAL: '' (TERMINAL) }
array-element	{NAME_LITERAL: '' (TERMINAL) }
11_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
module-nature	{NAME_LITERAL: 'INTRINSIC' (TERMINAL), NAME_LITERAL: 'NON' (TERMINAL) }
6_opt_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
saved-entity-list	{NAME_LITERAL: '' (TERMINAL), SLASH: '/' (TERMINAL) }
blank-interp-edit-desc	{NAME_LITERAL: 'BN' (TERMINAL), NAME_LITERAL: 'BZ' (TERMINAL) }
target-stmt	{NAME_LITERAL: 'TARGET' (TERMINAL) }
end-enum-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDENUM' (TERMINAL) }
constant	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
38_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL) }
module-subprogram-part2_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'CONTAINS' (TERMINAL) }
level-3-expr	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL) }
program-stmt	{NAME_LITERAL: 'PROGRAM' (TERMINAL) }
e	{INT_LITERAL_CONSTANT: '' (TERMINAL) }
28_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'CASE' (TERMINAL) }
4_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
expr1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
allocate-coshape-spec	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
component-part1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
generic-spec	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'OPERATOR' (TERMINAL), NAME_LITERAL: 'ASSIGNMENT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL) }
format-items	{CHAR_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), NAME_LITERAL: 'I' (TERMINAL), NAME_LITERAL: 'B' (TERMINAL), NAME_LITERAL: 'O' (TERMINAL), NAME_LITERAL: 'Z' (TERMINAL), NAME_LITERAL: 'F' (TERMINAL), NAME_LITERAL: 'E' (TERMINAL), NAME_LITERAL: 'EN' (TERMINAL), NAME_LITERAL: 'ES' (TERMINAL), NAME_LITERAL: 'G' (TERMINAL), NAME_LITERAL: 'L' (TERMINAL), NAME_LITERAL: 'A' (TERMINAL), NAME_LITERAL: 'D' (TERMINAL), NAME_LITERAL: 'DT' (TERMINAL), _EMTPTY_: '' (TERMINAL), SLASH: '/' (TERMINAL), COLON: ':' (TERMINAL), COMMA: ',' (TERMINAL), NAME_LITERAL: 'T' (TERMINAL), NAME_LITERAL: 'TL' (TERMINAL), NAME_LITERAL: 'TR' (TERMINAL), NAME_LITERAL: 'SS' (TERMINAL), NAME_LITERAL: 'SP' (TERMINAL), NAME_LITERAL: 'S' (TERMINAL), NAME_LITERAL: 'BN' (TERMINAL), NAME_LITERAL: 'BZ' (TERMINAL), NAME_LITERAL: 'RU' (TERMINAL), NAME_LITERAL: 'RD' (TERMINAL), NAME_LITERAL: 'RZ' (TERMINAL), NAME_LITERAL: 'RN' (TERMINAL), NAME_LITERAL: 'RC' (TERMINAL), NAME_LITERAL: 'RP' (TERMINAL), NAME_LITERAL: 'DC' (TERMINAL), NAME_LITERAL: 'DP' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
access-spec	{NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
deferred-shape-spec	{COLON: ':' (TERMINAL) }
write-stmt	{NAME_LITERAL: 'WRITE' (TERMINAL) }
sufix	{NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'RESULT' (TERMINAL) }
50_group_autogen	{COMMA: ',' (TERMINAL) }
proc-component-def-stmt	{NAME_LITERAL: 'PROCEDURE' (TERMINAL) }
implicit-part1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'IMPLICIT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL) }
data-stmt-value-list	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL) }
execution-part	{NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
initialization1_opt_autogen	{_EMTPTY_: '' (TERMINAL), EQUALS: '=' (TERMINAL) }
io-control-spec-list	{NAME_LITERAL: 'UNIT' (TERMINAL), ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'FMT' (TERMINAL), NAME_LITERAL: 'NML' (TERMINAL), NAME_LITERAL: 'ADVANCE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BLANK' (TERMINAL), NAME_LITERAL: 'DECIMAL' (TERMINAL), NAME_LITERAL: 'DELIM' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'EOR' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'ID' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'PAD' (TERMINAL), NAME_LITERAL: 'POS' (TERMINAL), NAME_LITERAL: 'REC' (TERMINAL), NAME_LITERAL: 'ROUND' (TERMINAL), NAME_LITERAL: 'SIGN' (TERMINAL), NAME_LITERAL: 'SIZE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
critical-stmt	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL) }
data-target	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
33_group_autogen	{COMMA: ',' (TERMINAL) }
55_group_autogen	{COMMA: ',' (TERMINAL) }
unlimited-format-item	{ASTERIK: '*' (TERMINAL) }
